,SentenceID,WordIndex,Word,Target,Correct,Confidence,MaxConfidence,Margin,Tokens,Variation,MaxVariation,MarginVar,Domain
0,0,0,101,0,1.0,0.9786901533603668,0.9786901533603668,0.9708788275718689,[CLS],0.00204510342672922,0.00204510342672922,0.003944309126407431,Wiki & Books
1,0,1,10243,0,0.9,0.8518000811338424,0.8610806316137314,0.7906983911991119,En,0.038999634425986765,0.029570635384413402,0.0665503879259106,Wiki & Books
2,0,2,22167,0,0.9,0.680083692073822,0.7342954069375992,0.5533506482839584,Hell,0.0737333110834717,0.03444875127227648,0.10731884552000308,Wiki & Books
3,0,3,11142,0,0.7,0.6396589487791061,0.7258316606283188,0.5390386879444122,##ig,0.08305807144762092,0.03240345443644985,0.09792627452015328,Wiki & Books
4,0,4,26907,27,0.0,0.0012796963565051556,0.7606169819831848,0.5959879428148269,Pa,6.084797906595896e-07,0.018468492765295393,0.05413769035251378,Wiki & Books
5,0,5,10403,27,0.0,0.001309642198611982,0.7463348865509033,0.5713869720697403,##as,5.443405863244006e-07,0.019994079875630316,0.05968333960509754,Wiki & Books
6,0,6,22037,27,0.0,0.0010953668781439774,0.7686083257198334,0.607352563738823,##kem,4.975777818462231e-07,0.01619900529718411,0.04824528561790268,Wiki & Books
7,0,7,82774,27,0.0,0.001290503739437554,0.7777615487575531,0.6270179837942124,##org,8.199434785188045e-07,0.014231870511286538,0.0428900884554743,Wiki & Books
8,0,8,10136,27,0.0,0.0011064233127399347,0.799506789445877,0.663377919793129,##en,6.836993502487191e-07,0.013809905378941386,0.040927711518745025,Wiki & Books
9,0,9,117,0,1.0,0.9766822040081025,0.9766822040081025,0.9677662670612335,",",0.0020377041902925794,0.0020377041902925794,0.003924124525637076,Wiki & Books
10,0,10,102,0,1.0,0.978932511806488,0.978932511806488,0.9713311195373535,[SEP],0.001922300847657823,0.001922300847657823,0.0036642943347139577,Wiki & Books
11,1,0,101,0,1.0,0.9428802967071533,0.9428802967071533,0.9282372415065765,[CLS],0.012730691988981278,0.012730691988981278,0.020191977676577048,Wiki & Books
12,1,1,20749,36,0.5,0.5691221714019775,0.6765418231487275,0.5126355677843094,Hand,0.10222559252206138,0.046017312230989524,0.11532991762611078,Wiki & Books
13,1,2,15608,5,0.9,0.6357294142246246,0.6890399128198623,0.537371252477169,mod,0.057918275216911966,0.026607323553323146,0.05334917610816775,Wiki & Books
14,1,3,20749,5,0.9,0.6837055198848248,0.7380238056182862,0.6138974621891975,Hand,0.06984656415710186,0.03317241211164641,0.06969445595217695,Wiki & Books
15,1,4,117,0,1.0,0.9226448118686676,0.9226448118686676,0.9022345304489136,",",0.01697543955678857,0.01697543955678857,0.02761513274699126,Wiki & Books
16,1,5,18319,18,0.8,0.6717713434249163,0.7483485072851181,0.6869376987218857,1816,0.10266996236699595,0.03835086427347613,0.053148223981427746,Wiki & Books
