,SentenceID,WordIndex,Word,Target,Correct,Confidence,Tokens,Variation,Domain
0,287,0,101,0,1.0,0.9963098359107971,[CLS],1.359107080310196e-06,Legal
1,287,1,27853,0,0.8,0.7971707566823898,Til,0.15858436597503822,Legal
2,287,2,42614,0,0.78,0.7772872727733738,støtte,0.17008298483447568,Legal
3,287,3,10142,0,0.82,0.8171075334025864,for,0.1463148185667244,Legal
4,287,4,83617,0,0.8,0.7972119196597043,kl,0.15864450571524033,Legal
5,287,5,37667,0,0.8,0.7972242535904127,##agen,0.15866307204390354,Legal
6,287,6,10163,0,0.78,0.777313490106393,er,0.1701843224214169,Legal
7,287,7,10349,0,0.8,0.7972164025253972,det,0.15867047486226224,Legal
8,287,8,27492,0,0.76,0.7573478031091782,gjort,0.18086538462596613,Legal
9,287,9,175,0,0.8,0.7972129193934597,g,0.1586828206121242,Legal
10,287,10,98644,0,0.82,0.8171124517133649,##ælde,0.14637280126740945,Legal
11,287,11,11382,0,0.81,0.8071178314704958,##nde,0.152587396875274,Legal
12,287,12,117,0,0.84,0.8369909971856395,",",0.1332692711306114,Legal
13,287,13,102,0,0.78,0.7772918152682178,[SEP],0.17015098840195264,Legal
14,953,0,101,0,0.72,0.7176319340426562,[CLS],0.19992078483708028,Legal
15,953,1,100,0,0.75,0.7474526156303546,[UNK],0.18596063389656273,Legal
16,953,2,11638,0,0.77,0.7673254840383743,ikke,0.1756394233941222,Legal
17,953,3,10163,0,0.8,0.797166012862399,er,0.15865688021277757,Legal
18,953,4,10172,0,0.8,0.7971187464547984,med,0.15869344833283408,Legal
19,953,5,68868,0,0.81,0.8071249632031504,##reg,0.1526341213556461,Legal
20,953,6,12978,0,0.8,0.7971683256855613,##net,0.15864986380479365,Legal
21,953,7,177,0,0.83,0.8271250903560212,i,0.13990293580615462,Legal
22,953,8,10303,0,0.75,0.7474787706929783,op,0.18596810959217808,Legal
23,953,9,102029,0,0.79,0.7872887481503859,##gør,0.1644724180719025,Legal
24,953,10,31218,0,0.84,0.8370744753519012,##elsen,0.1332783143747754,Legal
25,953,11,10452,0,0.84,0.837013411943858,af,0.13326564130968205,Legal
26,953,12,15147,0,0.82,0.8170991479608892,bere,0.14640569251006033,Legal
27,953,13,39400,0,0.82,0.8170544791446992,##gning,0.14638798735415684,Legal
28,953,14,84105,0,0.85,0.8469117828672325,##sg,0.12646783190058764,Legal
29,953,15,35794,0,0.88,0.8767642278119456,##run,0.10472140451599492,Legal
30,953,16,29127,0,0.86,0.8568431721713569,##dla,0.11938458620554762,Legal
31,953,17,14908,0,0.85,0.8469096841171723,##get,0.1263878360133968,Legal
32,953,18,10142,0,0.87,0.866838228330962,for,0.11211998303831233,Legal
33,953,19,10452,0,0.85,0.8468878403266717,af,0.1264017141649571,Legal
34,953,20,91880,0,0.84,0.8368885653148027,##gift,0.1332084451445355,Legal
35,953,21,10452,0,0.82,0.8169265328445908,af,0.14629710573742652,Legal
36,953,22,18840,0,0.81,0.8070721328446234,kon,0.1525393133481617,Legal
37,953,23,46329,0,0.81,0.8071092575245712,##jun,0.15254606069121843,Legal
38,953,24,57419,0,0.8,0.7972078738193522,##ktur,0.15861470539465178,Legal
39,953,25,11679,0,0.79,0.787228150951014,##ud,0.1645295437579689,Legal
40,953,26,12554,0,0.81,0.8071937054257478,##lig,0.15264440297644508,Legal
41,953,27,11269,0,0.84,0.837017662412909,##ning,0.13329100489406617,Legal
42,953,28,84105,0,0.87,0.8668520045342302,##sg,0.11218964287230403,Legal
43,953,29,35794,0,0.83,0.8270790336772188,##run,0.13996319002815688,Legal
44,953,30,29127,0,0.79,0.7871454518325345,##dla,0.16452887808806735,Legal
45,953,31,14908,0,0.77,0.767211847156841,##get,0.17562398315724945,Legal
46,953,32,120,0,0.77,0.7672264121171611,/,0.17563438356233121,Legal
47,953,33,10106,0,0.8,0.7970867835968238,in,0.1586583477760396,Legal
48,953,34,34592,0,0.83,0.8269757952673535,##vest,0.13991719689435717,Legal
